Provincias,Provincias,Sexo,Periodo,Total
Total,Total,Mujeres,2020,24195205
2,Albacete,Mujeres,2020,194189
3,Alicante,Mujeres,2020,948032
4,Almer�a,Mujeres,2020,356387
1,�lava,Mujeres,2020,169416
33,Asturias,Mujeres,2020,532718
5,Avila,Mujeres,2020,78555
6,Badajoz,Mujeres,2020,339933
7,Illes Balears,Mujeres,2020,587245
8,Barcelona,Mujeres,2020,2939086
48,Vizcaya,Mujeres,2020,599645
9,Burgos,Mujeres,2020,179072
10,Caceres,Mujeres,2020,197766
11,C�diz,Mujeres,2020,630488
39,Cantabria,Mujeres,2020,300346
12,Castell�n,Mujeres,2020,294791
13,Ciudad Real,Mujeres,2020,250203
14,C�rdoba,Mujeres,2020,398565
15,La Coru�a,Mujeres,2020,584034
16,Cuenca,Mujeres,2020,97709
20,Gipuzkoa,Mujeres,2020,371991
17,Girona,Mujeres,2020,390605
18,Granada,Mujeres,2020,466573
19,Guadalajara,Mujeres,2020,129156
21,Huelva,Mujeres,2020,264782
22,Huesca,Mujeres,2020,110208
23,Jaen,Mujeres,2020,319017
24,Le�n,Mujeres,2020,234535
25,Lleida,Mujeres,2020,215194
27,Lugo,Mujeres,2020,169104
28,Madrid,Mujeres,2020,3536095
29,M�laga,Mujeres,2020,860470
30,Murcia,Mujeres,2020,754552
31,Navarra,Mujeres,2020,333971
32,Ourense,Mujeres,2020,159572
34,Palencia,Mujeres,2020,80864
35,Las Palmas,Mujeres,2020,568371
36,Pontevedra,Mujeres,2020,488956
26,La Rioja,Mujeres,2020,162079
37,Salamanca,Mujeres,2020,169316
38,Sta. Cruz de Tenerife,Mujeres,2020,531396
40,Segovia,Mujeres,2020,76445
41,Sevilla,Mujeres,2020,997524
42,Soria,Mujeres,2020,43957
43,Tarragona,Mujeres,2020,408630
44,Teruel,Mujeres,2020,66201
45,Toledo,Mujeres,2020,350224
46,Valencia,Mujeres,2020,1322409
47,Valladolid,Mujeres,2020,267109
49,Zamora,Mujeres,2020,86219
50,Zaragoza,Mujeres,2020,496926
51,Ceuta,Mujeres,2020,41660
52,Melilla,Mujeres,2020,42914
